character,level,strokes,grade,freq,onyomi,kunyomi,meanings
香,N2,9,4,859,コウ; キョウ,か; かお.り; かお.る,incense; smell; perfume
坂,N2,7,3,865,ハン,さか,slope; incline; hill
底,N2,8,4,867,テイ,そこ,bottom; sole; depth; bottom price; base; kind; sort
布,N2,5,5,877,フ; ホ,ぬの; し.く; きれ,linen; cloth; spread; distribute
寺,N2,6,2,879,ジ,てら,Buddhist temple
宇,N2,6,6,883,ウ,,eaves; roof; house; heaven
巨,N2,5,8,892,キョ,,gigantic; big; large; great
震,N2,15,8,893,シン,ふる.う; ふる.える; ふる.わせる; ふる.わす,quake; shake; tremble; quiver; shiver
希,N2,7,4,896,キ; ケ,まれ; こいねが.う,hope; beg; request; pray; beseech; Greece; dilute (acid); rare; few; phenomenal
触,N2,13,8,904,ショク,ふ.れる; さわ.る; さわ,contact; touch; feel; hit; proclaim; announce; conflict
依,N2,8,8,906,イ; エ,よ.る,reliant; depend on; consequently; therefore; due to
籍,N2,20,8,907,セキ,,enroll; domiciliary register; membership
汚,N2,6,8,908,オ,けが.す; けが.れる; けが.らわしい; よご.す; よご.れる; きたな.い,dirty; pollute; disgrace; rape; defile
枚,N2,8,6,911,マイ; バイ,,sheet of...; counter for flat thin objects or sheets
複,N2,14,5,915,フク,,duplicate; double; compound; multiple
郵,N2,11,6,917,ユウ,,mail; stagecoach stop
仲,N2,6,4,919,チュウ,なか,go-between; relationship
栄,N2,9,4,920,エイ; ヨウ,さか.える; は.え; -ば.え; は.える; え,flourish; prosperity; honor; glory; splendor
札,N2,5,4,921,サツ,ふだ,tag; paper money; counter for bonds; placard; bid
板,N2,8,3,926,ハン; バン,いた,plank; board; plate; stage
骨,N2,10,6,936,コツ,ほね,skeleton; bone; remains; frame
傾,N2,13,8,938,ケイ,かたむ.く; かたむ.ける; かたぶ.く; かた.げる; かし.げる,lean; incline; tilt; trend; wane; sink; ruin; bias
届,N2,8,6,939,カイ,とど.ける; -とど.け; とど.く,deliver; reach; arrive; report; notify; forward
巻,N2,9,6,944,カン; ケン,ま.く; まき; ま.き,scroll; volume; book; part; roll up; wind up; tie; coil; counter for texts (or book scrolls)
燃,N2,16,5,948,ネン,も.える; も.やす; も.す,burn; blaze; glow
跡,N2,13,8,953,セキ,あと,tracks; mark; print; impression
包,N2,5,4,954,ホウ,つつ.む; くる.む,wrap; pack up; cover; conceal
駐,N2,15,8,955,チュウ,,stop-over; reside in; resident
弱,N2,10,2,958,ジャク,よわ.い; よわ.る; よわ.まる; よわ.める,weak; frail
紹,N2,11,8,963,ショウ,,introduce; inherit; help
雇,N2,12,8,975,コ,やと.う,employ; hire
替,N2,12,8,979,タイ,か.える; か.え-; か.わる,exchange; spare; substitute; per-
預,N2,13,6,981,ヨ,あず.ける; あず.かる,deposit; custody; leave with; entrust to
焼,N2,12,4,982,ショウ,や.く; や.き; や.き-; -や.き; や.ける,bake; burning
簡,N2,18,6,983,カン; ケン,えら.ぶ; ふだ,simplicity; brevity
章,N2,11,3,990,ショウ,,badge; chapter; composition; poem; design
臓,N2,19,6,991,ゾウ,はらわた,entrails; viscera; bowels
律,N2,9,6,992,リツ; リチ; レツ,,rhythm; law; regulation; gauge; control
贈,N2,18,8,1001,ゾウ; ソウ,おく.る,presents; send; give to; award to; confer on; presenting something
照,N2,13,4,1004,ショウ,て.る; て.らす; て.れる,illuminate; shine; compare; bashful
薄,N2,16,8,1009,ハク,うす.い; うす-; -うす; うす.める; うす.まる; うす.らぐ; うす.ら-; うす.れる; すすき,dilute; thin; weak (tea); pampas grass
群,N2,13,4,1012,グン,む.れる; む.れ; むら; むら.がる,flock; group; crowd; herd; swarm; cluster
秒,N2,9,3,1015,ビョウ,,second (1/60 minute)
奥,N2,12,8,1018,オウ,おく; おく.まる; くま,heart; interior
詰,N2,13,8,1020,キツ; キチ,つ.める; つ.め; -づ.め; つ.まる; つ.む,packed; close; pressed; reprove; rebuke; blame
双,N2,4,8,1029,ソウ,ふた; たぐい; ならぶ; ふたつ,pair; set; comparison; counter for pairs
刺,N2,8,8,1031,シ,さ.す; さ.さる; さ.し; さし; とげ,thorn; pierce; stab; prick; sting; calling card
