character,level,strokes,grade,freq,onyomi,kunyomi,meanings
犠,N1,17,8,1189,ギ; キ,いけにえ,sacrifice
旗,N1,14,4,1190,キ,はた,flag; banner; standard
距,N1,12,8,1191,キョ,へだ.たる; けづめ,long-distance; spur; fetlock
雅,N1,13,8,1192,ガ,みや.び,gracious; elegant; graceful; refined
飾,N1,13,8,1193,ショク,かざ.る; かざ.り,decorate; ornament; adorn; embellish
網,N1,14,8,1194,モウ,あみ,netting; network
竜,N1,10,8,1195,リュウ; リョウ; ロウ,たつ; いせ,dragon; imperial
詩,N1,13,3,1196,シ,うた,poem; poetry
繁,N1,16,8,1198,ハン,しげ.る; しげ.く,luxuriant; thick; overgrown; frequency; complexity; trouble
翼,N1,17,8,1201,ヨク,つばさ,wing; plane; flank
潟,N1,15,4,1204,セキ,かた; -がた,lagoon
敵,N1,15,6,1205,テキ,かたき; あだ; かな.う,enemy; foe; opponent
魅,N1,15,8,1206,ミ,,fascination; charm; bewitch
嫌,N1,13,8,1207,ケン; ゲン,きら.う; きら.い; いや,dislike; detest; hate
斉,N1,8,8,1209,セイ; サイ,そろ.う; ひと.しい; ひと.しく; あたる; はやい,adjusted; alike; equal; similar variety of
敷,N1,15,8,1212,フ,し.く; -し.き,spread; pave; sit; promulgate
擁,N1,16,8,1213,ヨウ,,hug; embrace; possess; protect; lead
圏,N1,12,8,1216,ケン,かこ.い,sphere; circle; radius; range
酸,N1,14,5,1218,サン,す.い,acid; bitterness; sour; tart
罰,N1,14,8,1220,バツ; バチ; ハツ,ばっ.する,penalty; punishment
滅,N1,13,8,1222,メツ,ほろ.びる; ほろ.ぶ; ほろ.ぼす,destroy; ruin; overthrow; perish
礎,N1,18,8,1224,ソ,いしずえ,cornerstone; foundation stone
腐,N1,14,8,1225,フ,くさ.る; -くさ.る; くさ.れる; くさ.れ; くさ.らす; くさ.す,rot; decay; sour
脚,N1,11,8,1228,キャク; キャ; カク,あし,skids; leg; undercarriage; lower part; base
潮,N1,15,6,1231,チョウ,しお; うしお,tide; salt water; opportunity
梅,N1,10,4,1232,バイ,うめ,plum
尽,N1,6,8,1234,ジン; サン,つ.きる; つ.くす; つ.かす; -づ.く; -ず.く; ことごと.く,exhaust; use up; run out of; deplete; befriend; serve
僕,N1,14,8,1236,ボク,しもべ,me; I (male); servant; manservant
桜,N1,10,5,1237,オウ; ヨウ,さくら,cherry
滑,N1,13,8,1238,カツ; コツ,すべ.る; なめ.らか,slippery; slide; slip; fail exam
孤,N1,9,8,1239,コ,,orphan; alone
炎,N1,8,8,1242,エン,ほのお,inflammation; flame; blaze
賠,N1,15,8,1243,バイ,,compensation; indemnify
句,N1,5,5,1244,ク,,phrase; clause; sentence; passage; paragraph; counter for haiku
鋼,N1,16,6,1246,コウ,はがね,steel
頑,N1,13,8,1247,ガン,かたく.な,stubborn; foolish; firmly
鎖,N1,18,8,1250,サ,くさり; とざ.す,chain; irons; connection
彩,N1,11,8,1251,サイ,いろど.る,coloring; paint; makeup
摩,N1,15,8,1252,マ,ま.する; さす.る; す.る,chafe; rub; polish; grind; scrape
励,N1,7,8,1254,レイ,はげ.む; はげ.ます,encourage; be diligent; inspire
縦,N1,16,6,1258,ジュウ,たて,vertical; length; height; self-indulgent; wayward
輝,N1,15,8,1259,キ,かがや.く,radiance; shine; sparkle; gleam; twinkle
蓄,N1,13,8,1260,チク,たくわ.える,amass; raise; hoard; store
軸,N1,12,8,1261,ジク,,axis; pivot; stem; stalk; counter for book scrolls
巡,N1,6,8,1262,ジュン,めぐ.る; めぐ.り,patrol; go around; circumference
稼,N1,15,8,1264,カ,かせ.ぐ,earnings; work; earn money
瞬,N1,18,8,1265,シュン,またた.く; まじろ.ぐ,wink; blink; twinkle
砲,N1,10,8,1268,ホウ,,cannon; gun
噴,N1,15,8,1270,フン,ふ.く,erupt; spout; emit; flush out
誇,N1,13,8,1272,コ,ほこ.る,boast; be proud; pride; triumphantly
祥,N1,10,8,1273,ショウ,さいわ.い; きざ.し; よ.い; つまび.らか,auspicious; happiness; blessedness; good omen; good fortune
牲,N1,9,8,1274,セイ,,animal sacrifice; offering
秩,N1,10,8,1275,チツ,,regularity; salary; order
帝,N1,9,8,1276,テイ,みかど,sovereign; the emperor; god; creator
宏,N1,7,9,1277,コウ,ひろ.い,wide; large
唆,N1,10,8,1278,サ,そそ.る; そそのか.す,tempt; seduce; instigate; promote
阻,N1,8,8,1280,ソ,はば.む,thwart; separate from; prevent; obstruct; deter; impede
泰,N1,10,8,1281,タイ,,peaceful; calm; peace; easy; Thailand; extreme; excessive; great
賄,N1,13,8,1282,ワイ,まかな.う,bribe; board; supply; finance
撲,N1,15,8,1283,ボク,,slap; strike; hit; beat; tell; speak
堀,N1,11,8,1285,クツ,ほり,ditch; moat; canal
菊,N1,11,8,1287,キク,,chrysanthemum
絞,N1,12,8,1288,コウ,しぼ.る; し.める; し.まる,strangle; constrict; wring
縁,N1,15,8,1291,エン; -ネン,ふち; ふち.どる; ゆかり; よすが; へり; えにし,affinity; relation; connection; edge; border; verge; brink
唯,N1,11,8,1292,ユイ; イ,ただ,solely; only; merely; simply
膨,N1,16,8,1293,ボウ,ふく.らむ; ふく.れる,swell; get fat; thick
矢,N1,5,2,1294,シ,や,dart; arrow
耐,N1,9,8,1295,タイ,た.える,-proof; enduring
塾,N1,14,8,1297,ジュク,,cram school; private school
漏,N1,14,8,1298,ロウ,も.る; も.れる; も.らす,leak; escape; time
慶,N1,15,8,1300,ケイ,よろこ.び,jubilation; congratulate; rejoice; be happy
猛,N1,11,8,1301,モウ,,fierce; rave; rush; become furious; wildness; strength
芳,N1,7,8,1302,ホウ,かんば.しい,perfume; balmy; favorable; fragrant
懲,N1,18,8,1303,チョウ,こ.りる; こ.らす; こ.らしめる,penal; chastise; punish; discipline
剣,N1,10,8,1305,ケン,つるぎ,sabre; sword; blade; clock hand
彰,N1,14,8,1310,ショウ,,patent; clear
棋,N1,12,8,1311,キ,ご,chess piece; Japanese chess; shogi
丁,N1,2,3,1312,チョウ; テイ; チン; トウ; チ,ひのと,"street; ward; town; counter for guns, tools, leaves or cakes of something; even number; 4th calendar sign"
恒,N1,9,8,1314,コウ,つね; つねに,constancy; always
揚,N1,12,8,1316,ヨウ,あ.げる; -あ.げ; あ.がる,raise; elevate; hoist; praise; extol; fry in deep fat
冒,N1,9,8,1317,ボウ,おか.す,risk; face; defy; dare; damage; assume (a name)
之,N1,3,9,1318,シ,の; これ; ゆく; この,of; this
倫,N1,10,8,1322,リン,,ethics; companion
陳,N1,11,8,1323,チン,ひ.ねる,exhibit; state; relate; explain
憶,N1,16,8,1324,オク,,recollection; think; remember
潜,N1,15,8,1329,セン,ひそ.む; もぐ.る; かく.れる; くぐ.る; ひそ.める,submerge; conceal; hide; lower (voice); hush
梨,N1,11,4,1331,リ,なし,pear tree
仁,N1,4,6,1332,ジン; ニ; ニン,,humanity; virtue; benevolence; charity; man; kernel
克,N1,7,8,1333,コク,か.つ,overcome; kindly; skillfully
岳,N1,8,8,1334,ガク,たけ,point; peak; mountain
概,N1,14,8,1335,ガイ,おおむ.ね,outline; condition; approximation; generally
拘,N1,8,8,1336,コウ,かか.わる,arrest; seize; concerned; adhere to; despite
墓,N1,13,5,1337,ボ,はか,grave; tomb
黙,N1,15,8,1338,モク; ボク,だま.る; もだ.す,silence; become silent; stop speaking; leave as is
須,N1,12,8,1339,ス; シュ,すべから.く; すべし; ひげ; まつ; もち.いる; もと.める,ought; by all means; necessarily
偏,N1,11,8,1340,ヘン,かたよ.る,partial; side; left-side radical; inclining; biased
雰,N1,12,8,1341,フン,,atmosphere; fog
遇,N1,12,8,1343,グウ,あ.う,meet; encounter; interview; treat; entertain; receive; deal with
諮,N1,16,8,1345,シ,はか.る,consult with
狭,N1,9,8,1346,キョウ; コウ,せま.い; せば.める; せば.まる; さ,cramped; narrow; contract; tight
卓,N1,8,8,1348,タク,,eminent; table; desk; high
亀,N1,11,8,1353,キ; キュウ; キン,かめ,tortoise; turtle
糧,N1,18,8,1354,リョウ; ロウ,かて,provisions; food; bread
簿,N1,19,8,1358,ボ,,register; record book
炉,N1,8,8,1359,ロ,いろり,hearth; furnace; kiln; reactor
牧,N1,8,4,1360,ボク,まき,breed; care for; shepherd; feed; pasture
殊,N1,10,8,1361,シュ,こと,particularly; especially; exceptionally
殖,N1,12,8,1362,ショク,ふ.える; ふ.やす,augment; increase; multiply; raise
艦,N1,21,8,1363,カン,,warship
輩,N1,15,8,1365,ハイ,-ばら; やから; やかい; ともがら,comrade; fellow; people; companions
穴,N1,5,6,1366,ケツ,あな,hole; aperture; slit; cave; den
奇,N1,8,8,1367,キ,く.しき; あや.しい; くし; めずら.しい,strange; strangeness; curiosity
慢,N1,14,8,1368,マン,,ridicule; laziness
鶴,N1,21,8,1369,カク,つる,crane; stork
謀,N1,16,8,1370,ボウ; ム,はか.る; たばか.る; はかりごと,conspire; cheat; impose on; plan; devise; scheme; have in mind; deceive
暖,N1,13,6,1371,ダン; ノン,あたた.か; あたた.かい; あたた.まる; あたた.める,warmth
昌,N1,8,9,1372,ショウ,さかん,prosperous; bright; clear
拍,N1,8,8,1373,ハク; ヒョウ,,clap; beat (music)
朗,N1,10,6,1374,ロウ,ほが.らか; あき.らか,melodious; clear; bright; serene; cheerful
寛,N1,13,8,1377,カン,くつろ.ぐ; ひろ.い; ゆる.やか,tolerant; leniency; generosity; relax; feel at home; be at ease; broadminded
覆,N1,18,8,1378,フク,おお.う; くつがえ.す; くつがえ.る,capsize; cover; shade; mantle; be ruined
胞,N1,9,8,1379,ホウ,,placenta; sac; sheath
泣,N1,8,4,1380,キュウ,な.く,cry; weep; moan
隔,N1,13,8,1382,カク,へだ.てる; へだ.たる,isolate; alternate; distance; separate; gulf
浄,N1,9,8,1383,ジョウ; セイ,きよ.める; きよ.い,clean; purify; cleanse; exorcise; Manchu Dynasty
没,N1,7,8,1385,ボツ; モツ,おぼ.れる; しず.む; ない,drown; sink; hide; fall into; disappear; die
暇,N1,13,8,1386,カ,ひま; いとま,spare time; rest; leisure; time; leave of absence
肺,N1,9,6,1387,ハイ,,lungs
貞,N1,9,8,1389,テイ; ジョウ,ただし.い; さだ,upright; chastity; constancy; righteousness
靖,N1,13,9,1390,セイ; ジョウ,やす.んじる,peaceful
鑑,N1,23,8,1391,カン,かんが.みる; かがみ,specimen; take warning from; learn from
飼,N1,13,5,1392,シ,か.う,domesticate; raise; keep; feed
陰,N1,11,8,1393,イン,かげ; かげ.る,shade; yin; negative; sex organs; secret; shadow
銘,N1,14,8,1394,メイ,,inscription; signature (of artisan)
随,N1,12,8,1396,ズイ,まにま.に; したが.う,follow; though; notwithstanding; while; during; both; all; obey; submit to; comply; at the mercy of (the waves)
烈,N1,10,8,1397,レツ,はげ.しい,ardent; violent; vehement; furious; severe; extreme
尋,N1,12,8,1398,ジン,たず.ねる; ひろ,inquire; fathom; look for
稿,N1,15,8,1400,コウ,わら; したがき,draft; copy; manuscript; straw
丹,N1,4,8,1402,タン,に,rust-colored; red; red lead; pills; sincerity
啓,N1,11,8,1403,ケイ,ひら.く; さと.す,disclose; open; say
也,N1,3,9,1404,ヤ; エ,なり; か; また,to be (classical)
丘,N1,5,8,1405,キュウ,おか,hill; knoll
棟,N1,12,8,1406,トウ,むね; むな-,ridgepole; ridge
壌,N1,16,8,1407,ジョウ,つち,lot; earth; soil
漫,N1,14,8,1408,マン,みだり.に; そぞ.ろ,cartoon; involuntarily; unrestrained; in spite of oneself; corrupt
玄,N1,5,8,1409,ゲン,くろ; くろ.い,mysterious; occultness; black; deep; profound
粘,N1,11,8,1410,ネン,ねば.る,sticky; glutinous; greasy; persevere
悟,N1,10,8,1411,ゴ,さと.る,enlightenment; perceive; discern; realize; understand
舗,N1,15,8,1412,ホ,,shop; store; pave
妊,N1,7,8,1413,ニン; ジン,はら.む; みごも.る,pregnancy
熟,N1,15,6,1415,ジュク,う.れる,mellow; ripen; mature; acquire skill
旭,N1,6,9,1417,キョク,あさひ,rising sun; morning sun
恩,N1,10,6,1418,オン,,grace; kindness; goodness; favor; mercy; blessing; benefit
騰,N1,20,8,1420,トウ,あが.る; のぼ.る,leaping up; jumping up; rising; advancing; going
往,N1,8,5,1421,オウ,い.く; いにしえ; さき.に; ゆ.く,journey; travel; chase away; let go; going; before; formerly
豆,N1,7,3,1422,トウ; ズ,まめ; まめ-,beans; pea; midget
遂,N1,12,8,1423,スイ,と.げる; つい.に,consummate; accomplish; attain; commit (suicide)
狂,N1,7,8,1425,キョウ,くる.う; くる.おしい; くるお.しい,lunatic; insane; crazy; confuse
岐,N1,7,4,1428,キ; ギ,,branch off; fork in road; scene; arena; theater
陛,N1,10,6,1429,ヘイ,,highness; steps (of throne)
緯,N1,16,8,1430,イ,よこいと; ぬき,horizontal; woof; left & right; (parallels of) latitude; prediction
培,N1,11,8,1431,バイ,つちか.う,cultivate; foster
衰,N1,10,8,1432,スイ,おとろ.える,decline; wane; weaken
艇,N1,13,8,1433,テイ,,rowboat; small boat
屈,N1,8,8,1434,クツ,かが.む; かが.める,yield; bend; flinch; submit
径,N1,8,4,1435,ケイ,みち; こみち; さしわたし; ただちに,diameter; path; method
淡,N1,11,8,1436,タン,あわ.い,thin; faint; pale; fleeting
抽,N1,8,8,1437,チュウ,ひき-,pluck; pull; extract; excel
披,N1,8,8,1438,ヒ,,expose; open
廷,N1,7,8,1439,テイ,,courts; imperial court; government office
錦,N1,16,8,1440,キン,にしき,brocade; fine dress; honors
准,N1,10,8,1441,ジュン,,quasi-; semi-; associate
暑,N1,12,3,1442,ショ,あつ.い,sultry; hot; summer heat
磯,N1,17,9,1444,キ,いそ,seashore; beach
奨,N1,13,8,1445,ショウ; ソウ,すす.める,exhort; urge; encourage
浸,N1,10,8,1447,シン,ひた.す; ひた.る; つ.かる,immersed; soak; dip; steep; moisten; wet; dunk
剰,N1,11,8,1448,ジョウ,あまつさえ; あま.り; あま.る,surplus; besides
胆,N1,9,8,1449,タン,きも,gall bladder; courage; pluck; nerve
繊,N1,17,8,1451,セン,,slender; fine; thin kimono
駒,N1,15,8,1452,ク,こま,pony; horse; colt
虚,N1,11,8,1454,キョ; コ,むな.しい; うつ.ろ,void; emptiness; unpreparedness; crack; fissure; untruth
霊,N1,15,8,1458,レイ; リョウ,たま,spirits; soul
帳,N1,11,3,1459,チョウ,とばり,notebook; account book; album; curtain; veil; net; tent
悔,N1,9,8,1460,カイ,く.いる; く.やむ; くや.しい,repent; regret
諭,N1,16,8,1461,ユ,さと.す,rebuke; admonish; charge; warn; persuade
惨,N1,11,8,1463,サン; ザン,みじ.め; いた.む; むご.い,wretched; disaster; cruelty; harsh
虐,N1,9,8,1464,ギャク,しいた.げる,tyrannize; oppress
翻,N1,18,8,1465,ホン; ハン,ひるがえ.る; ひるがえ.す,flip; turn over; wave; flutter; change (mind)
墜,N1,15,8,1466,ツイ,お.ちる; お.つ,crash; fall (down)
沼,N1,8,8,1467,ショウ,ぬま,marsh; lake; bog; swamp; pond
据,N1,11,8,1468,キョ,す.える; す.わる,set; lay a foundation; install; equip; squat down; sit down
肥,N1,8,5,1469,ヒ,こ.える; こえ; こ.やす; こ.やし; ふと.る,fertilizer; get fat; fertile; manure; pamper
徐,N1,10,8,1470,ジョ,おもむ.ろに,gradually; slowly; deliberately; gently
糖,N1,16,6,1471,トウ,,sugar
搭,N1,12,8,1472,トウ,,board; load (a vehicle); ride
盾,N1,9,8,1476,ジュン,たて,shield; escutcheon; pretext
脈,N1,10,5,1477,ミャク,すじ,vein; pulse; hope
滝,N1,13,8,1478,ロウ; ソウ,たき,waterfall; rapids; cascade
軌,N1,9,8,1480,キ,,rut; wheel; track; model; way of doing
俵,N1,10,6,1481,ヒョウ,たわら,bag; bale; sack; counter for bags
妨,N1,7,8,1482,ボウ,さまた.げる,disturb; prevent; hamper; obstruct
擦,N1,17,8,1485,サツ,す.る; す.れる; -ず.れ; こす.る; こす.れる,grate; rub; scratch; scrape; chafe; scour
鯨,N1,19,8,1486,ゲイ,くじら,whale
荘,N1,9,8,1489,ソウ; ショウ; チャン,ほうき; おごそ.か,villa; inn; cottage; feudal manor; solemn; dignified
諾,N1,15,8,1490,ダク,,consent; assent; agreement
雷,N1,13,8,1491,ライ,かみなり; いかずち; いかづち,thunder; lightning bolt
漂,N1,14,8,1492,ヒョウ,ただよ.う,drift; float (on liquid)
懐,N1,16,8,1493,カイ; エ,ふところ; なつ.かしい; なつ.かしむ; なつ.く; なつ.ける; なず.ける; いだ.く; おも.う,feelings; heart; yearn; miss someone; become attached to; bosom; breast; pocket
勘,N1,11,8,1494,カン,,intuition; perception; check; compare; sixth sense
栽,N1,10,8,1496,サイ,,plantation; planting
拐,N1,8,8,1498,カイ,,kidnap; falsify
駄,N1,14,8,1500,ダ; タ,,burdensome; pack horse; horse load; send by horse; trivial; worthless
添,N1,11,8,1501,テン,そ.える; そ.う,annexed; accompany; marry; suit; meet; satisfy; attach; append; garnish; imitate
冠,N1,9,8,1503,カン,かんむり,crown; best; peerless
斜,N1,11,8,1504,シャ,なな.め; はす,diagonal; slanting; oblique
鏡,N1,19,4,1506,キョウ; ケイ,かがみ,mirror; speculum; barrel-head; round rice-cake offering
聡,N1,14,9,1507,ソウ,さと.い; みみざと.い,wise; fast learner
浪,N1,10,8,1508,ロウ,,wandering; waves; billows; reckless; unrestrained
亜,N1,7,8,1509,ア,つ.ぐ,Asia; rank next; come after; -ous
覧,N1,17,6,1510,ラン,み.る,perusal; see
詐,N1,12,8,1511,サ,いつわ.る,lie; falsehood; deceive; pretend
壇,N1,16,8,1512,ダン; タン,,podium; stage; rostrum; terrace
勲,N1,15,8,1513,クン,いさお,meritorious deed; merit
魔,N1,21,8,1514,マ,,witch; demon; evil spirit
酬,N1,13,8,1515,シュウ; シュ; トウ,むく.いる,repay; reward; retribution
紫,N1,12,8,1516,シ,むらさき,purple; violet
曙,N1,17,9,1518,ショ,あけぼの,dawn; daybreak
紋,N1,10,8,1519,モン,,family crest; figures
卸,N1,9,8,1520,シャ,おろ.す; おろし; おろ.し,wholesale
奮,N1,16,6,1521,フン,ふる.う,stirred up; be invigorated; flourish
欄,N1,20,8,1523,ラン,てすり,column; handrail; blank; space
逸,N1,11,8,1524,イツ,そ.れる; そ.らす; はぐ.れる,deviate; idleness; leisure; miss the mark; evade; elude; parry; diverge
涯,N1,11,8,1525,ガイ,はて,horizon; shore; limit; bound
拓,N1,8,8,1526,タク,ひら.く,clear (the land); open; break up (land)
眼,N1,11,5,1527,ガン; ゲン,まなこ; め,eyeball
獄,N1,14,8,1529,ゴク,,prison; jail
尚,N1,8,8,1531,ショウ,なお,esteem; furthermore; still; yet
彫,N1,11,8,1533,チョウ,ほ.る; -ぼ.り,carve; engrave; chisel
穏,N1,16,8,1535,オン,おだ.やか,calm; quiet; moderation
顕,N1,18,8,1536,ケン,あきらか; あらわ.れる,appear; existing
巧,N1,5,8,1537,コウ,たく.み; たく.む; うま.い,adroit; skilled; ingenuity
矛,N1,5,8,1538,ム; ボウ,ほこ,halberd; arms; festival float
垣,N1,9,8,1539,エン,かき,hedge; fence; wall
欺,N1,12,8,1541,ギ,あざむ.く,deceit; cheat; delude
釣,N1,11,8,1542,チョウ,つ.る; つ.り; つ.り-,angling; fish; catch; allure; ensnare
萩,N1,12,9,1544,シュウ,はぎ,bush clover
粛,N1,11,8,1549,シュク; スク,つつし.む,solemn; quietly; softly
栗,N1,10,9,1550,リツ; リ,くり; おののく,chestnut
愚,N1,13,8,1551,グ,おろ.か,foolish; folly; absurdity; stupid
嘉,N1,14,9,1553,カ,よみ.する; よい,applaud; praise; esteem; happy; auspicious
遭,N1,14,8,1554,ソウ,あ.う; あ.わせる,encounter; meet; party; association; interview; join
架,N1,9,8,1555,カ,か.ける; か.かる,erect; frame; mount; support; shelf; construct
鬼,N1,10,8,1557,キ,おに; おに-,ghost; devil
庶,N1,11,8,1558,ショ,,commoner; all; bastard
稚,N1,13,8,1560,チ; ジ,いとけない; おさない; おくて; おでる,immature; young
滋,N1,12,4,1563,ジ; シ,,nourishing; more & more; be luxuriant; planting; turbidity
幻,N1,4,8,1564,ゲン,まぼろし,phantasm; vision; dream; illusion; apparition
煮,N1,12,8,1565,シャ,に.る; -に; に.える; に.やす,boil; cook
姫,N1,10,8,1566,キ,ひめ; ひめ-,princess
誓,N1,14,8,1567,セイ,ちか.う,vow; swear; pledge
把,N1,7,8,1569,ハ; ワ,,grasp; faggot; bunch; counter for bundles
践,N1,13,8,1570,セン,ふ.む,tread; step on; trample; practice; carry through
呈,N1,7,8,1571,テイ,,display; offer; present; send; exhibit
疎,N1,12,8,1572,ソ; ショ,うと.い; うと.む; まば.ら,alienate; rough; neglect; shun; sparse; penetrate
仰,N1,6,8,1573,ギョウ; コウ,あお.ぐ; おお.せ; お.っしゃる; おっしゃ.る,face-up; look up; depend; seek; respect; revere; drink; take
剛,N1,10,8,1576,ゴウ,,sturdy; strength
疾,N1,10,8,1577,シツ,はや.い,rapidly
征,N1,8,8,1578,セイ,,subjugate; attack the rebellious; collect taxes
砕,N1,9,8,1579,サイ,くだ.く; くだ.ける,smash; break; crush; familiar; popular
謡,N1,16,8,1580,ヨウ,うた.い; うた.う,song; sing; ballad; noh chanting
嫁,N1,13,8,1581,カ,よめ; とつ.ぐ; い.く; ゆ.く,marry into; bride
謙,N1,17,8,1582,ケン,へりくだ.る,self-effacing; humble oneself; condescend; be modest
后,N1,6,6,1583,コウ; ゴ,きさき,empress; queen; after; behind; back; later
嘆,N1,13,8,1584,タン,なげ.く; なげ.かわしい,sigh; lament; moan; grieve; sigh of admiration
菌,N1,11,8,1586,キン,,germ; fungus; bacteria
鎌,N1,18,8,1587,レン; ケン,かま,sickle; scythe; trick
巣,N1,11,4,1588,ソウ,す; す.くう,nest; rookery; hive; cobweb; den
頻,N1,17,8,1590,ヒン,しき.りに,repeatedly; recur
琴,N1,12,8,1591,キン; ゴン,こと,harp; koto
班,N1,10,6,1592,ハン,,squad; corps; unit; group
棚,N1,12,8,1594,ホウ,たな; -だな,shelf; ledge; rack; mount; mantle; trellis
潔,N1,15,5,1595,ケツ,いさぎよ.い,undefiled; pure; clean; righteous; gallant
酷,N1,14,8,1596,コク,ひど.い,cruel; severe; atrocious; unjust
宰,N1,10,8,1597,サイ,,superintend; manager; rule
廊,N1,12,8,1598,ロウ,,corridor; hall; tower
寂,N1,11,8,1599,ジャク; セキ,さび; さび.しい; さび.れる; さみ.しい,loneliness; quietly; mellow; mature; death of a priest
辰,N1,7,9,1600,シン; ジン,たつ,sign of the dragon; 7-9AM; fifth sign of Chinese zodiac; shin dragon radical (no. 161)
霞,N1,17,9,1603,カ; ゲ,かすみ; かす.む,be hazy; grow dim; blurred
伏,N1,6,8,1604,フク,ふ.せる; ふ.す,prostrated; bend down; bow; cover; lay (pipes)
碁,N1,13,8,1609,ゴ,,Go
俗,N1,9,8,1610,ゾク,,vulgar; customs; manners; worldliness; mundane things
漠,N1,13,8,1611,バク,,vague; obscure; desert; wide
邪,N1,8,8,1612,ジャ,よこし.ま,wicked; injustice; wrong
晶,N1,12,8,1613,ショウ,,sparkle; clear; crystal
墨,N1,14,8,1616,ボク,すみ,black ink; India ink; ink stick; Mexico
鎮,N1,18,8,1617,チン,しず.める; しず.まる; おさえ,tranquilize; ancient peace-preservation centers
洞,N1,9,8,1618,ドウ,ほら,den; cave; excavation
履,N1,15,8,1619,リ,は.く,perform; complete; footgear; shoes; boots; put on (the feet)
劣,N1,6,8,1620,レツ,おと.る,inferiority; be inferior to; be worse
那,N1,7,8,1621,ナ; ダ,なに; なんぞ; いかん,what?
殴,N1,8,8,1622,オウ,なぐ.る,assault; hit; beat; thrash
娠,N1,10,8,1623,シン,,with child; pregnancy
奉,N1,8,8,1624,ホウ; ブ,たてまつ.る; まつ.る; ほう.ずる,observance; offer; present; dedicate
憂,N1,15,8,1625,ユウ,うれ.える; うれ.い; う.い; う.き,melancholy; grieve; lament; be anxious; sad; unhappy
朴,N1,6,8,1626,ボク,ほう; ほお; えのき,crude; simple; plain; docile
亭,N1,9,8,1627,テイ; チン,,pavilion; restaurant; mansion; arbor; cottage; vaudeville; music hall; stage name
淳,N1,11,9,1629,ジュン; シュン,あつ.い,pure
怪,N1,8,8,1634,カイ; ケ,あや.しい; あや.しむ,suspicious; mystery; apparition
鳩,N1,13,9,1637,キュウ; ク,はと; あつ.める,pigeon; dove
酔,N1,11,8,1640,スイ,よ.う; よ.い; よ,drunk; feel sick; poisoned; elated; spellbound
惜,N1,11,8,1641,セキ,お.しい; お.しむ,pity; be sparing of; frugal; stingy; regret
穫,N1,18,8,1642,カク,,harvest; reap
佳,N1,8,8,1643,カ,,excellent; beautiful; good; pleasing; skilled
潤,N1,15,8,1644,ジュン,うるお.う; うるお.す; うる.む,wet; be watered; profit by; receive benefits; favor; charm; steep
悼,N1,11,8,1645,トウ,いた.む,lament; grieve over
乏,N1,4,8,1646,ボウ,とぼ.しい; とも.しい,destitution; scarce; limited
該,N1,13,8,1648,ガイ,,above-stated; the said; that specific
赴,N1,9,8,1649,フ,おもむ.く,proceed; get; become; tend
桑,N1,10,8,1650,ソウ,くわ,mulberry
桂,N1,10,9,1651,ケイ,かつら,Japanese Judas-tree; cinnamon tree
髄,N1,19,8,1652,ズイ,,marrow; pith; essence
虎,N1,8,8,1653,コ,とら,tiger; drunkard
盆,N1,9,8,1654,ボン,,basin; lantern festival; tray
晋,N1,10,9,1655,シン,すす.む,advance
穂,N1,15,8,1656,スイ,ほ,ear; ear (grain); head; crest (wave)
壮,N1,6,8,1657,ソウ,さかん,robust; manhood; prosperity
堤,N1,12,8,1658,テイ,つつみ,dike; bank; embankment
飢,N1,10,8,1659,キ,う.える,hungry; starve
傍,N1,12,8,1660,ボウ,かたわ.ら; わき; おか-; はた; そば,bystander; side; besides; while; nearby; third person
疫,N1,9,8,1661,エキ; ヤク,,epidemic
累,N1,11,8,1662,ルイ,,accumulate; involvement; trouble; tie up; continually
痴,N1,13,8,1663,チ,し.れる; おろか,stupid; foolish
搬,N1,13,8,1664,ハン,,conveyor; carry; transport
晃,N1,10,9,1666,コウ,あきらか,clear
癒,N1,18,8,1667,ユ,い.える; いや.す; い.やす,healing; cure; quench (thirst); wreak
桐,N1,10,9,1668,トウ; ドウ,きり,paulownia
寸,N1,3,6,1669,スン,,measurement; tenth of a shaku; a little; small
郭,N1,11,8,1670,カク,くるわ,enclosure; quarters; fortification; red-light district
尿,N1,7,8,1672,ニョウ,ゆばり; いばり; しと,urine
凶,N1,4,8,1673,キョウ,,villain; evil; bad luck; disaster
吐,N1,6,8,1674,ト,は.く; つ.く,spit; vomit; belch; confess; tell (lies)
宴,N1,10,8,1675,エン,うたげ,banquet; feast; party
鷹,N1,24,9,1676,ヨウ; オウ,たか,hawk
賓,N1,15,8,1677,ヒン,まろうど; したがう,V.I.P.; guest
虜,N1,13,8,1678,リョ; ロ,とりこ; とりく,captive; barbarian; low epithet for the enemy
陶,N1,11,8,1680,トウ,すえ,pottery; porcelain
鐘,N1,20,8,1681,ショウ,かね,bell; gong; chimes
憾,N1,16,8,1682,カン,うら.む,remorse; regret; be sorry
猪,N1,11,9,1684,チョ,い; いのしし,boar
紘,N1,10,9,1685,コウ,おおづな; つな; つなぐ,large
磁,N1,14,6,1686,ジ,,magnet; porcelain
弥,N1,8,8,1687,ミ; ビ,や; いや; いよ.いよ; わた.る,all the more; increasingly
昆,N1,8,8,1688,コン,,descendants; elder brother; insect
粗,N1,11,8,1689,ソ,あら.い; あら-,coarse; rough; rugged
訂,N1,9,8,1690,テイ,ただ.す,revise; correct; decide
芽,N1,8,4,1691,ガ,め,bud; sprout; spear; germ
